127.0.0.1 - - [12/Mar/2025:18:16:08 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:16:13 -0500] "GET /PrimerosPasosJSP/Registro.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:16:14 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:20:07 -0500] "GET /PrimerosPasosJSP/FormularioRegistro.html HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:20:36 -0500] "GET /PrimerosPasosJSP/Registro.jsp?Nombre=Dorian&Apellido=Jaramillo HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:21:35 -0500] "GET /PrimerosPasosJSP/Registro.jsp?Nombre=Dorian&Apellido=Jaramillo HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:21:51 -0500] "GET /PrimerosPasosJSP/FormularioRegistro.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:23:34 -0500] "GET /PrimerosPasosJSP/FormularioRegistro.html HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:24:14 -0500] "GET /PrimerosPasosJSP/Registro.jsp?Nombre=Jes%C3%BAs&Apellido=Medina HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:24:20 -0500] "GET /PrimerosPasosJSP/Registro.jsp?Nombre=Jes%C3%BAs&Apellido=Medina HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:40:05 -0500] "GET /PrimerosPasosJSP/RegistroPersonas.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:41:08 -0500] "GET /PrimerosPasosJSP/RegistroPersonas.jsp HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:43:03 -0500] "GET /PrimerosPasosJSP/Registro.jsp?Nombre=Dorian&Apellido=Jaramillo HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:48:24 -0500] "GET /PrimerosPasosJSP/RegistroPersonas.jsp HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:49:39 -0500] "GET /PrimerosPasosJSP/FormularioRegistro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:50:44 -0500] "GET /PrimerosPasosJSP/RegistroPersonas.jsp HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [12/Mar/2025:18:51:01 -0500] "GET /PrimerosPasosJSP/Registro.jsp?Nombre=Dorian&Apellido=Jaramillo HTTP/1.1" 200 212
