127.0.0.1 - - [17/Mar/2025:16:25:16 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [17/Mar/2025:16:25:17 -0500] "GET /PrimerosPasosJSP/FormularioEnvioPreferenciasViaje.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [17/Mar/2025:16:25:17 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [17/Mar/2025:16:25:29 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Par%EDs HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [17/Mar/2025:16:27:45 -0500] "GET /PrimerosPasosJSP/ListaCompras.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [17/Mar/2025:16:27:54 -0500] "GET /PrimerosPasosJSP/ListaCompras.jsp?articulos=agua&articulos=pan&articulos=carne&button=Enviar HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [17/Mar/2025:16:28:00 -0500] "GET /PrimerosPasosJSP/ListaCompras.jsp?articulos=leche&articulos=manzanas&articulos=pescado&button=Enviar HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:17:18 -0500] "GET /PrimerosPasosJSP/FormularioEnvioPreferenciasViaje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:18:15 -0500] "GET /PrimerosPasosJSP/AgenciaViajes.jsp HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:19:45 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Par%EDs HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:19:51 -0500] "GET /PrimerosPasosJSP/AgenciaViajes.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:20:40 -0500] "GET /PrimerosPasosJSP/FormularioEnvioPreferenciasViaje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:20:45 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:21:56 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:22:42 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Sidney HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:22:45 -0500] "GET /PrimerosPasosJSP/AgenciaViajes.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:23:02 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Medell%EDn HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:23:04 -0500] "GET /PrimerosPasosJSP/AgenciaViajes.jsp HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:25:06 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:32:42 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:34:10 -0500] "GET /PrimerosPasosJSP/FormularioEnvioPreferenciasViaje.html HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:34:14 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Medellin HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:34:16 -0500] "GET /PrimerosPasosJSP/AgenciaViajes.jsp HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:34:32 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:37:54 -0500] "GET /PrimerosPasosJSP/FormularioEnvioPreferenciasViaje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:38:01 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:38:17 -0500] "GET /PrimerosPasosJSP/FormularioEnvioPreferenciasViaje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:38:23 -0500] "GET /PrimerosPasosJSP/RecibePeticion.jsp?ciudadFavorita=Nueva+York HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [17/Mar/2025:17:38:25 -0500] "GET /PrimerosPasosJSP/AgenciaViajes.jsp HTTP/1.1" 200 1040
